query,pos,query_en,pos_en
Hồ Ngọc Hà sinh ngày bao nhiêu,"Hồ Ngọc Hà tên khai sinh là Hồ Thị Ngọc Hà ( sinh ngày 25 tháng 11 năm 1984 ) là nữ ca sĩ , diễn viên , người mẫu thời trang người Việt Nam . Hồ Ngọc Hà bắt đầu sự nghiệp người mẫu từ năm 15 tuổi với chiều cao 1m72 và đạt nhiều giải thưởng .",How many days was Ho Ngoc Ha born?,"Ho Ngoc Ha (born Ho Thi Ngoc Ha on November 25, 1984) is a Vietnamese singer, actress and fashion model. Ho Ngoc Ha started her modeling career at the age of 15 with a height of 1m72 and won many awards."
Album đầu tay của Adele được phát hành năm nào,"19 là album đầu tay của nữ ca sĩ-người viết bài hát người Anh Adele . Nó được phát hành vào ngày 28 tháng 1 năm 2008 , một tuần sau khi đĩa đơn chủ đạo "" Chasing Pavements "" ra mắt .",What year was Adele's debut album released?,"19 is the debut album by British singer-songwriter Adele. It was released on January 28, 2008, a week after the lead single "" Chasing Pavements "" was released."
Ca sĩ Thu Phương sinh ra ở đâu,"Thu Phương , tên khai sinh Nguyễn Thị Thu Phương ( sinh ngày 9 tháng 10 năm 1972 tại Hải Phòng ) , là một nữ ca sĩ nhạc nhẹ Việt Nam .",Where was Thu Phuong born,"Thu Phuong, born Nguyen Thi Thu Phuong (October 9, 1972 in Hai Phong), is a Vietnamese female light music singer."
Tên thật của Đinh Đức Thiện là gì,"Đinh Đức Thiện , tên thật là : Phan Đình Dinh ( sinh ngày 15 - 11 - 1914 – mất ngày 21 - 12 - 1986 ) là một trong những người lãnh đạo chủ chốt trong việc xây dựng đường mòn Hồ Chí Minh huyền thoại trong Chiến tranh Việt Nam ; nguyên Uỷ viên Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam , Bộ trưởng Bộ Cơ khí Luyện kim , Bộ trưởng Bộ Giao thông Vận tải ( Việt Nam ) , Thượng tướng Quân đội Nhân dân Việt Nam .",What is Dinh Duc Thien's real name,"Dinh Duc Thien, real name: Phan Dinh Dinh (November 15, 1914 – December 21, 1986) was one of the key leaders in the construction of the legendary Ho Chi Minh Trail during the Vietnam War; former member of the Central Committee of the Communist Party of Vietnam, Minister of Mechanical Engineering, Minister of Transport (Vietnam), Colonel General of the People's Army of Vietnam."
Hồ Ngọc Hà cao bao nhiêu,"Hồ Ngọc Hà tên khai sinh là Hồ Thị Ngọc Hà ( sinh ngày 25 tháng 11 năm 1984 ) là nữ ca sĩ , diễn viên , người mẫu thời trang người Việt Nam . Hồ Ngọc Hà bắt đầu sự nghiệp người mẫu từ năm 15 tuổi với chiều cao 1m72 và đạt nhiều giải thưởng .",How tall is Ngoc Ha Lake?,"Ho Ngoc Ha (born Ho Thi Ngoc Ha on November 25, 1984) is a Vietnamese singer, actress and fashion model. Ho Ngoc Ha started her modeling career at the age of 15 with a height of 1m72 and won many awards."
Ước tính thế giới tiêu thụ dầu mỏ bao nhiêu mỗi ngày,"Dầu mỏ được sử dụng trong sản xuất nhiều loại vật liệu , và người ta ước tính rằng thế giới tiêu thụ khoảng 95 triệu thùng mỗi ngày .",Estimate how much world oil consumption per day,"Petroleum is used in the production of a variety of materials, and it is estimated that the world consumes about 95 million barrels per day."
Tên đầy đủ của Hy Lạp là gì,"Hy Lạp ( hay Ελλάς , chuyển tự "" Ellas "" ) , tên chính thức là Cộng hoà Hy Lạp , là một quốc gia thuộc khu vực châu Âu , nằm phía nam bán đảo Balkan . Hy Lạp giáp với các nước Albania , Cộng hoà Macedonia và Bulgaria về phía bắc , giáp với Thổ Nhĩ Kỳ về phía đông .",What is the full name of Greece,"Greece, officially the Republic of Greece, is a country in the European region, located south of the Balkan Peninsula. Greece is bordered by Albania, the Republic of Macedonia and Bulgaria to the north, and Turkey to the east."
Nước nào có lãnh thổ liền nhau lớn nhất trong lịch sử nhân loại,"Đế quốc Mông Cổ từng tồn tại trong các thế kỷ 13 và 14 , là đế quốc có lãnh thổ liền nhau lớn nhất trong lịch sử nhân loại . Khởi đầu trên vùng thảo nguyên Trung Á , đế quốc cuối cùng đã trải dài từ Đông Âu đến biển Nhật Bản , bao gồm nhiều phần rộng lớn của Siberi ở phía bắc và mở rộng về phía nam đến Đông Nam Á , tiểu lục địa Ấn Độ , cao nguyên Iran , và Trung Đông .",Which country has the largest contiguous territory in the history of mankind,"The Mongol Empire, which existed in the 13th and 14th centuries, was the largest contiguous empire in human history. Starting on the steppe of Central Asia, the empire eventually stretched from Eastern Europe to the Sea of Japan, encompassing much of the wider part of Siberia in the north and extending southwards to Southeast Asia, the Indian subcontinent, the Iranian plateau, and the Middle East."
Phần cuối của Nhật ký trong tù viết gì,"Ngoài ra , phần cuối văn bản là bút ký đọc sách và bút ký đọc báo ghi chép tóm tắt những thông tin quan trọng về chính trị , quân sự , văn hoá quốc tế và Việt Nam đương thời .",What does the last part of the Diary in prison say,"In addition, the last part of the text is a book-reading pen and a newspaper-reading pen that summarizes important information on politics, military, international culture and contemporary Vietnam."
Dân số của Na Uy là bao nhiêu,"Na Uy, tên chính thức là Vương quốc Na Uy, là một quốc gia Bắc Âu nằm ở Tây Bắc Châu Âu có lãnh thổ bao gồm phần phía tây và cực bắc của Bán đảo Scandinavi; hòn đảo xa xôi Jan Mayen và quần đảo Svalbard cũng là một phần của Vương quốc Na Uy. Na Uy/Dân số 5,258 triệu (2017)",What is the population of Norway,"Norway, officially the Kingdom of Norway, is a Nordic country located in northwestern Europe whose territory includes the western and northernmost parts of the Scandinavian Peninsula; the remote island of Jan Mayen and the Svalbard Islands are also part of the Kingdom of Norway."
Dân số của Na Uy là bao nhiêu,"Tới năm 2007 , dân số Na Uy gồm 4.7 triệu người . Đa số người Na Uy thuộc sắc tộc Na Uy , một nhóm người Germanic Bắc . Người bản xứ người Sami theo truyền thống sống ở các vùng trung tâm và phía bắc Na Uy và Thuỵ Điển cũng như vùng bắc Phần Lan và tại Nga trên Bán đảo Kola .",What is the population of Norway,"As of 2007, the population of Norway consisted of 4.7 million people. The majority of Norwegians are ethnic Norwegians, a North Germanic group. Native Sami people traditionally live in central and northern parts of Norway and Sweden as well as northern Finland and in Russia on the Kola Peninsula."
Ai là người khai sinh ra Trung Hoa Dân Quốc,"Là người khai sinh nên Trung Hoa Dân Quốc , tại Đài Loan ông được tôn xưng là "" Quốc phụ "" . Tại đại lục , ông được coi là "" Cách mạng tiên hành giả "" ( "" người tiên phong của cách mạng "" ) và tên của ông thậm chí còn được đề cập tới trong lời tựa Hiến pháp Cộng hoà Nhân dân Trung Hoa .",Who is the birthplace of the Republic of China,"As the founder of the Republic of China, in Taiwan he is known as the "" Fatherland. "" In the mainland, he is considered the "" Pioneer of the Revolution "" and his name is even mentioned in the preface to the Constitution of the People's Republic of China."
Iran có bao nhiêu di sản thế giới được UNESCO công nhận,"Iran có di sản văn hoá phong phú , sở hữu 22 di sản thế giới UNESCO tính đến năm 2017 , đứng thứ ba tại châu Á. Iran là một quốc gia đa văn hoá , có nhiều nhóm dân tộc và ngôn ngữ , trong đó các nhóm lớn nhất là người Ba Tư ( 61% ) , người Azeri ( 16% ) , người Kurd ( 10% ) và người Lur ( 6% ) .",How many UNESCO World Heritage Sites Iran has,"Iran has a rich cultural heritage, possessing 22 UNESCO World Heritage Sites as of 2017, ranking third in Asia. Iran is a multicultural country, with many ethnic and linguistic groups, of which the largest groups are Persians (61%), Azeri (16%), Kurds (10%) and Lurs (6%)."
Quần đảo Cát Bà nằm ở đâu,"Quần đảo Cát Bà là quần thể gồm 367 đảo trong đó có đảo Cát Bà ở phía nam vịnh Hạ Long , ngoài khơi thành phố Hải Phòng và tỉnh Quảng Ninh , cách trung tâm thành phố Hải Phòng khoảng 30  km , cách thành phố Hạ Long khoảng 25  km .",Where are the Cat Ba Islands located,"Cat Ba Archipelago is a group of 367 islands, including Cat Ba Island in the south of Ha Long Bay, off Hai Phong City and Quang Ninh Province, about 30 km from the center of Hai Phong City, about 25 km from Ha Long City."
Thành phố nào lớn thứ 2 của Trung Quốc,"Nam Xương là thành phố tỉnh lỵ tỉnh Giang Tây ở đông nam Trung Quốc . Thành phố Nam Xương toạ lạc bên bờ Cám Giang , 60  km về phía nam sông Dương Tử . Nam Xương nổi tiếng với Đằng Vương Các xây dựng năm 653 và Quảng trường nhân dân Nam Xương rộng thứ 2 Trung Quốc - chỉ xếp sau Thiên An Môn ở Bắc Kinh .",Which is the 2nd largest city in China,"Nanchang is the provincial capital of Jiangxi Province in southeastern China. Nanchang City is located on the banks of the Jinjiang River, 60 kilometers south of the Yangtze River. Nanchang is famous for its 653-year-old King Dang and China's 2nd-largest Nanchang People's Square – second only to Tiananmen in Beijing."
David Beckham sinh ngày nào,"David Robert Joseph Beckham , ( sinh ngày 2 tháng 5 năm 1975 ) là một cựu cầu thủ bóng đá chuyên nghiệp người Anh từng thi đấu cho các câu lạc bộ Manchester United , Preston North End , Real Madrid , A.C. Milan , Los Angeles Galaxy , Paris Saint-Germain và đội tuyển quốc gia Anh ở vị trí tiền vệ .",When was David Beckham born,"David Robert Joseph Beckham (born 2 May 1975) is an English former professional footballer who played for Manchester United, Preston North End, Real Madrid, A.C. Milan, Los Angeles Galaxy, Paris Saint-Germain and the England national team as a midfielder."
Album đầu tay của Adele tên gì,"Album đầu tay của cô, 19 được phát hành vào năm 2008 với nhiều thành công cả về thương mại lẫn các ý kiến phê bình tại Anh. 19 được chứng nhận đĩa bạch kim bốn lần tại Anh Quốc và hai đĩa bạch kim tại Hoa Kỳ.[4][5] Sự nghiệp của cô tại Mỹ thăng tiến mạnh mẽ sau sự xuất hiện của cô trong chương trình Saturday Night Live vào cuối năm 2008. Tại lễ trao giải Grammy năm 2009, Adele đã nhận được giải Nghệ sĩ mới xuất sắc nhất và Trình diễn giọng Pop nữ xuất sắc nhất.[6][7][8]",What is the name of Adele's debut album,"Her debut album, 19 was released in 2008 to critical and commercial success in the United Kingdom. 19 was certified four times platinum in the United Kingdom and two times platinum in the United States.[4][5] Her career in the United States soared after her appearance on Saturday Night Live in late 2008. At the 2009 Grammy Awards, Adele received Best New Artist and Best Female Pop Vocal Performance.[6][7][8]"
Phần Lan tuyên bố độc lập vào năm nào,"Phần Lan hoàn toàn độc lập vào năm 1917 . Trong Chiến tranh thế giới thứ hai , Phần Lan đã bảo vệ được nền độc lập của mình và chống lại sự xâm lược của Liên Xô ( Chiến tranh Liên Xô-Phần Lan ) mặc dù bị mất một phần lãnh thổ .",What year did Finland declare its independence?,"Finland became fully independent in 1917. During the Second World War, Finland defended its independence and resisted the Soviet invasion (Soviet-Finnish War) despite losing part of its territory."
Anh Ba Sàm tên thật là gì,"Anh Ba Sàm tên thật là Nguyễn Hữu Vinh ( sinh năm 1956 ) là một blogger ở Việt Nam . Ông từng là công an và đảng viên Đảng Cộng sản Việt Nam , từng công tác ở Uỷ ban Việt kiều Trung ương . Ông bị Chính phủ CHXHCN Việt Nam bắt giữ và bị cáo buộc và phạt tù 5 năm do có hành vi đăng tải các bài viết trên mạng Internet vi phạm Điều 258 Bộ Luật Hình sự .",What's Ba Sam's real name?,"Ba Sam Nguyen Huu Vinh (born 1956) is a blogger in Vietnam. He was a former police officer and member of the Communist Party of Vietnam, and worked at the Central Committee for Overseas Vietnamese. He was arrested by the Socialist Government of Vietnam and charged and sentenced to five years in prison for posting articles on the Internet in violation of Article 258 of the Penal Code."
